timestamp,attentionct_unfiltered,au01ct_linear_causal,au02ct_nonlinear_causal,au04ct_nonlinear_causal,au09ct_linear_causal,au10ct_linear_causal,au15ct_linear_causal,au17ct_nonlinear_causal,au18ct_linear_causal,au24ct_linear_causal,au25ct_nonlinear_causal,au28ct_linear_causal,eye_closurect_nonlinear_causal,smilect_nonlinear_causal,smirkct_nonlinear_causal,joyct_emotion_nonlinear_causal,disgustct_emotion_nonlinear_causal,sadnessct_emotion_nonlinear_causal,angerct_emotion_nonlinear_causal,surprisect_emotion_nonlinear_causal,contemptct_emotion_nonlinear_causal,fearct_emotion_nonlinear_causal,valencect_nonlinear_causal,expressivenessct_nonlinear_causal,Entropy,HeadAngleLeftRight,HeadAngleRoll,HeadAngleUpDown,HighFreqPower,InterOcularDistance,MeanFaceLuminance,MeanFaceLuminanceDiffLR,VarianceFaceLuminance
160714.281,98.3635254,0.080955505,0.526661873,12.888916,0.118812561,75.7402344,0.006033897,55.6113281,0.056510925,0.00146091,96.5932617,0.000756741,3.11E-05,2.76E-06,0.267547607,0.006827772,64.8956299,0.002492964,2.81518555,6.60107422,0.252268314,0.89855957,-98.8847656,66.3127441,2.13939333,1.49414062,3.64825439,-8.75878906,218.453125,172.289551,106.246582,16.7194214,1671.59375
160785.719,98.4815063,0.071510315,0.540874004,11.7127686,0.102661133,81.2109375,0.00391674,46.5527344,0.143829346,0.003032684,96.7080383,0.000168383,0.000105426,2.80E-06,0.542053223,0.007107019,64.6729736,0.00227204,1.83691406,7.08746338,0.254073143,0.842918396,-99.2204285,64.5983887,2.13700747,1.13720703,2.86181641,-9.2722168,221.480469,172.980713,106.156982,16.8519287,1690.09375
160857.141,98.3670654,0.063907623,0.548379898,10.4433594,0.043670654,85.3652344,0.002528071,31.4648438,0.350280762,0.016372681,96.6292114,4.29E-05,4.73E-05,2.95E-06,1.10742188,0.007396102,63.6998291,0.002067685,0.964233398,7.58343506,0.263450623,0.779006958,-99.3704224,62.3662109,2.1346333,1.49267578,3.23840332,-9.31726074,230.699219,174.101074,106.367188,17.1078491,1709.38916
160928.578,98.2124939,0.048870087,0.563180089,9.33197021,0.067230225,88.1552734,0.001795411,11.9589844,0.708496094,0.062103272,96.3522949,2.10E-05,2.89E-05,2.93E-06,2.09106445,0.007627636,63.5271606,0.001913056,0.412078857,7.97607422,0.286437988,0.719943047,-99.4676666,60.0133057,2.13287592,1.96704102,3.44600677,-11.3425293,230.477051,173.656738,106.604492,17.2744141,1704.54688
161000,98.3275528,0.039341129,0.574602544,8.80017471,0.202354997,91.895607,0.001310181,5.74575281,1.53210378,0.205513492,96.938118,1.59E-05,0.000133133,2.96E-06,3.04193592,0.00784171,64.2162094,0.001788739,0.319671214,8.41775703,0.313560933,0.716865361,-99.616066,60.1058769,2.1304183,1.62990201,3.29625225,-11.1490164,237.846222,172.261353,107.407661,16.470377,1645.99365
161071.422,98.6474609,0.029455185,0.57013762,7.90795898,0.039993286,93.229248,0.000771165,3.27368164,3.55957031,0.166168213,97.7838135,2.14E-05,3.34E-05,3.20E-06,3.17428589,0.008201003,64.3756714,0.001627982,0.276176453,9.15124512,0.312730789,0.706855774,-99.6722794,60.0263672,2.13416004,0.545410156,2.03125,-9.27832031,171.242188,176.674805,106.304688,17.385498,1690.45703
161142.859,98.3678207,0.028517246,0.5390625,7.15234375,0.00074172,92.7849121,0.000397086,2.6027832,7.00292969,0.180480957,97.7045898,0.000103921,8.17E-06,3.12E-06,4.77050781,0.008402109,63.1906738,0.00154718,0.25012207,9.48883057,0.366119385,0.672691345,-99.5280457,58.5859375,2.14276028,1.50564575,2.7590332,-7.90759277,188.835938,175.48877,106.758057,17.6604462,1780.90234
161214.281,98.133667,0.027313948,0.518768311,6.99517822,0.000939965,88.4726562,0.000202626,2.18017578,14.75,1.85058594,95.5107422,0.000771523,4.94E-05,2.99E-06,9.41601562,0.008121848,61.0053711,0.001617014,0.229957581,8.74829102,0.600708008,0.602035522,-99.2155151,54.4570312,2.14172173,2.17285156,2.92041016,-9.20300293,192.585938,173.404541,107.702271,18.1137695,1784.96094
161285.719,98.2435303,0.023107529,0.510025024,7.08642578,0.008895874,83.0847168,0.000109211,1.31591797,23.8828125,15.3515625,90.5380859,0.002894163,2.5546875,2.90E-06,13.8803711,0.007398903,57.8994141,0.001766562,0.207366943,7.07641602,0.955932617,0.481201172,-98.8239899,45.78125,2.13411713,1.86035156,2.71728516,-9.36425781,192.977539,173.464844,107.90625,18.21875,1760.34375
161357.141,98.0339355,0.017320633,0.658447266,5.26367188,0.56640625,84.0714111,6.80E-05,1.21536255,35.9921875,34.0527344,84.5263672,0.005687714,94.125,2.86E-06,14.8205566,0.007006466,54.0976562,0.001566023,0.16897583,6.12915039,1.01870728,0.327575684,-98.7066956,32.5605469,2.1111908,2.43457031,2.44726562,-11.1660156,230.671875,176.595703,109.425781,16.8076172,1575.28125
