TimeStamp,Alpha_TP9,Alpha_FP1,Alpha_FP2,Alpha_TP10,Beta_TP9,Beta_FP1,Beta_FP2,Beta_TP10,Delta_TP9,Delta_FP1,Delta_FP2,Delta_TP10,Gamma_TP9,Gamma_FP1,Gamma_FP2,Gamma_TP10,Theta_TP9,Theta_FP1,Theta_FP2,Theta_TP10,Mellow,Concentration,RAW_TP9,RAW_FP1,RAW_FP2,RAW_TP10
2016-05-26 20:41:04,0.30962706,-0.5002389,-0.26766184,0.5170055,0.25868383,-0.37482858,-0.3823266,0.40991065,-0.0067285034,-1.110158,-0.7416696,0.017156394,0.2754784,-0.29527035,-0.47315854,0.43577152,-0.436145,-0.7582245,-1.0999334,-0.04893008,0.26438344,-0.6331787,834.005,830.7151,810.9753,819.2002
2016-05-26 20:41:05,0.40914264,-0.1776661,-0.24230309,0.5170055,0.3276937,-0.12940872,-0.21775095,0.40991065,-0.42432356,-1.083992,-0.976754,0.017156394,0.28949884,-0.33843836,-0.44927743,0.43577152,-0.39007086,-0.9902402,-1.2021259,-0.04893008,-0.0015878835,-0.92966473,847.16486,835.65,817.55524,843.87494
2016-05-26 20:41:06,0.5853108,-0.23454508,-0.78618985,0.5170055,0.29537198,-0.096006274,-0.37855074,0.40991065,-0.04420792,-1.1606495,-1.0854267,0.017156394,0.59006417,-0.35216585,-0.52705973,0.43577152,-0.22636923,-1.1689581,-0.98267287,-0.04893008,0.35931766,-0.7522992,832.36005,830.7151,819.2002,860.3247
2016-05-26 20:41:07,0.4199418,-0.67394215,-0.5712599,0.5170055,0.38872114,-0.29610303,-0.56347996,0.40991065,0.052733764,-0.789038,-0.9517537,0.017156394,0.36308137,-0.4269052,-0.49715233,0.43577152,-0.044409,-0.9340698,-0.6836196,-0.04893008,0.64792794,-0.47153044,858.67975,830.7151,815.9103,838.94
2016-05-26 20:41:08,0.26263866,-0.41124842,-0.49552947,0.5170055,0.44487813,-0.22119507,-0.44866946,0.40991065,-0.14469194,-1.0029049,-0.8840681,0.017156394,0.25088316,-0.39028203,-0.52253616,0.43577152,-0.01821343,-0.8558346,-0.77207613,-0.04893008,0.46808177,-0.744993,825.78015,832.36005,815.9103,840.58496
2016-05-26 20:41:09,0.26263866,-0.30868518,-0.55272436,0.5170055,0.44487813,-0.2534042,-0.41570055,0.40991065,-0.14469194,-0.980637,-0.7573241,0.017156394,0.25088316,-0.32826883,-0.53451425,0.43577152,-0.01821343,-0.6739866,-1.0786073,-0.04893008,0.46808177,-0.744993,824.13513,835.65,807.68536,753.401
2016-05-26 20:41:10,0.26263866,-0.35181296,-0.4235227,0.5170055,0.44487813,-0.18791643,-0.47163126,0.40991065,-0.14469194,-1.0312488,-1.1328667,0.017156394,0.25088316,-0.44595093,-0.5456953,0.43577152,-0.01821343,-0.63296,-0.8766345,-0.04893008,0.46808177,-0.744993,814.26526,827.4251,819.2002,569.1632
2016-05-26 20:41:11,0.26263866,-0.34702623,-0.60030115,0.5170055,0.44487813,-0.2474446,-0.49725074,0.40991065,-0.14469194,-0.7708045,-0.7717745,0.017156394,0.25088316,-0.5400324,-0.74614376,0.43577152,-0.01821343,-0.74773574,-0.9037317,-0.04893008,0.46808177,-0.744993,843.87494,830.7151,820.8452,776.4307
2016-05-26 20:41:12,0.26263866,-0.49290013,-0.68335396,0.5170055,0.44487813,-0.36246592,-0.51138705,0.40991065,-0.14469194,-0.65445644,-0.6085646,0.017156394,0.25088316,-0.47510388,-0.7429024,0.43577152,-0.01821343,-0.7556272,-0.75836056,-0.04893008,0.46808177,-0.744993,858.67975,830.7151,815.9103,858.67975
2016-05-26 20:41:13,0.2647517,-0.6839567,-0.811916,0.5170055,0.4437261,-0.30536813,-0.5948586,0.40991065,0.40264195,-0.9240709,-1.1396321,0.017156394,0.4195282,-0.44352204,-0.6034995,0.43577152,-0.015560543,-0.8125978,-0.62518543,-0.04893008,0.22143562,-0.96519053,783.0106,825.78015,819.2002,817.55524
